"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 30 06:39:17 UTC 2022","Tue Aug 30 06:39:21 UTC 2022","4034","","Login modal window","","Login modal window","should check if login modal window is displayed","should check if login modal window is displayed",""
"passed","Tue Aug 30 06:39:23 UTC 2022","Tue Aug 30 06:39:24 UTC 2022","1924","","Login from home page","","Login from home page","should login from home page","should login from home page",""
